loss,conv2d_63_loss,conv2d_95_loss,conv2d_127_loss,val_loss,val_conv2d_63_loss,val_conv2d_95_loss,val_conv2d_127_loss
"0,0768","0,0309","0,0239","0,0219","0,162","0,042","0,048","0,072"
"0,0768","0,0310","0,0239","0,0219","0,174","0,042","0,050","0,082"
"0,0768","0,0310","0,0239","0,0219","0,178","0,042","0,051","0,084"
"0,0769","0,0310","0,0239","0,0220","0,169","0,042","0,049","0,077"
"0,0768","0,0310","0,0239","0,0219","0,177","0,042","0,051","0,084"
"0,0769","0,0310","0,0239","0,0220","0,156","0,042","0,047","0,067"
"0,0768","0,0310","0,0239","0,0219","0,167","0,042","0,049","0,076"
"0,0768","0,0309","0,0239","0,0219","0,171","0,042","0,050","0,079"
"0,0768","0,0309","0,0239","0,0219","0,180","0,042","0,051","0,086"
"0,0768","0,0309","0,0239","0,0219","0,176","0,042","0,051","0,083"
"0,0768","0,0309","0,0239","0,0219","0,159","0,042","0,047","0,070"
"0,0768","0,0310","0,0239","0,0219","0,165","0,042","0,048","0,074"
"0,0769","0,0310","0,0239","0,0220","0,160","0,042","0,047","0,070"
"0,0768","0,0309","0,0239","0,0219","0,168","0,042","0,049","0,077"
